Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,768983095,9865.663138328488,352943,4.528079703795143,0,6953743,89.21299627335729,674,0.008647078197776768,0,
United States of America,Americas,103436829,31249.547,0,0,0,1127152,340.527,0,0,0
China,Western Pacific,99300040,6749.196,1411,0.096,0,121563,8.262,27,0.002,0
India,South-East Asia,44995665,3260.545,273,0.02,0,531917,38.545,2,0,0
France,Europe,38997490,59959.831,0,0,0,167985,258.282,0,0,0
Germany,Europe,38437756,46217.718,0,0,0,174979,210.395,0,0,0
Brazil,Americas,37717062,17744.244,12464,5.864,0,704659,331.512,171,0.08,0
Japan,Western Pacific,33803572,26727.165,0,0,0,74694,59.058,0,0,0
Republic of Korea,Western Pacific,33201796,64759.75,318706,621.633,0,35313,68.878,97,0.189,0
Italy,Europe,25912481,43447.073,1406,2.357,0,191012,320.267,4,0.007,0
The United Kingdom,Europe,24651375,36312.897,398,0.586,0,228429,336.489,0,0,0
Russian Federation,Europe,22977274,15744.927,2985,2.045,0,399854,273.996,40,0.027,0
Türkiye,Europe,17004677,20162.278,0,0,0,101419,120.252,0,0,0
Spain,Europe,13980340,29536.378,0,0,0,121852,257.438,0,0,0
Viet Nam,Western Pacific,11621812,11939.574,104,0.107,0,43206,44.387,0,0,0
Australia,Western Pacific,11560270,45334.598,0,0,0,22482,88.165,0,0,0
Argentina,Americas,10044957,22225.434,0,0,0,130472,288.682,0,0,0
Netherlands,Europe,8616599,49499.106,0,0,0,22986,132.046,0,0,0
Mexico,Americas,7633355,5920.416,0,0,0,334336,259.31,0,0,0
Iran (Islamic Republic of),Eastern Mediterranean,7612935,9063.779,49,0.058,0,146311,174.194,4,0.005,0
Indonesia,South-East Asia,6812670,2490.706,0,0,0,161895,59.189,0,0,0
Poland,Europe,6518206,17172.091,50,0.132,0,119635,315.176,2,0.005,0
Colombia,Americas,6377142,12532.979,903,1.775,0,142942,280.924,20,0.039,0
Austria,Europe,6081287,68320.9,0,0,0,22534,253.161,0,0,0
Portugal,Europe,5596420,54355.764,0,0,0,26979,262.036,0,0,0
Ukraine,Europe,5518385,12618.136,0,0,0,109904,251.302,0,0,0
Greece,Europe,5344865,49865.49,0,0,0,37261,347.63,0,0,0
Chile,Americas,5288791,27666.538,0,0,0,61605,322.266,0,0,0
Malaysia,Western Pacific,5121920,15825.002,0,0,0,37181,114.877,0,0,0
Israel,Europe,4831302,55817.447,288,3.327,0,12592,145.479,0,0,0
Belgium,Europe,4802496,41679.505,2,0.017,0,34376,298.34,0,0,0
Thailand,South-East Asia,4755175,6812.574,391,0.56,0,34425,49.319,7,0.01,0
Canada,Americas,4697504,12446.306,1592,4.218,0,53147,140.816,38,0.101,0
Czechia,Europe,4643049,43417.575,65,0.608,0,42812,400.339,0,0,0
Peru,Americas,4517034,13699.666,1424,4.319,0,221364,671.373,103,0.312,0
Switzerland,Europe,4407570,50927.378,0,0,0,14028,162.087,0,0,0
Philippines,Western Pacific,4172920,3808.066,1302,1.188,0,66592,60.77,50,0.046,0
South Africa,Africa,4072533,6866.672,0,0,0,102595,172.985,0,0,0
Denmark,Europe,3414674,58643.534,105,1.803,0,8771,150.633,6,0.103,0
Romania,Europe,3409997,17642.018,595,3.078,0,68253,353.115,4,0.021,0
Sweden,Europe,2712743,26266.953,0,0,0,24536,237.577,0,0,0
Serbia,Europe,2544741,36738.117,203,2.931,0,18057,260.687,0,0,0
Singapore,Western Pacific,2534940,43329.775,0,0,0,1872,31.998,0,0,0
Iraq,Eastern Mediterranean,2465545,6129.767,0,0,0,25375,63.087,0,0,0
New Zealand,Western Pacific,2360435,48949.004,3079,63.85,0,3219,66.753,31,0.643,0
Hungary,Europe,2203289,22552.67,0,0,0,48799,499.502,0,0,0
Bangladesh,South-East Asia,2044532,1241.447,363,0.22,0,29473,17.896,4,0.002,0
Slovakia,Europe,1866857,34204.845,0,0,0,21167,387.825,0,0,0
Georgia,Europe,1845538,46263.651,0,0,0,17101,428.685,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1714643,34538.498,121,2.437,0,9109,183.485,12,0.242,0
Pakistan,Eastern Mediterranean,1580631,715.566,0,0,0,30656,13.878,0,0,0
Kazakhstan,Europe,1502857,8003.837,0,0,0,19072,101.573,0,0,0
Norway,Europe,1486301,27690.337,134,2.496,0,5613,104.572,2,0.037,0
Finland,Europe,1483208,26843.975,0,0,0,10087,182.56,0,0,0
Slovenia,Europe,1344637,64156.783,0,0,0,9429,449.887,0,0,0
Lithuania,Europe,1321908,47310.86,95,3.4,0,9694,346.947,0,0,0
Bulgaria,Europe,1298909,18685.354,0,0,0,38396,552.343,0,0,0
Morocco,Eastern Mediterranean,1275273,3455.036,28,0.076,0,16297,44.153,0,0,0
Croatia,Europe,1274123,31396.53,33,0.813,0,18286,450.598,4,0.099,0
Guatemala,Americas,1271061,7094.729,2012,11.23,0,20235,112.946,11,0.061,0
Puerto Rico,Americas,1252713,43788.094,0,0,0,5938,207.56,0,0,0
Costa Rica,Americas,1238883,24319.872,311,6.105,0,9428,185.076,11,0.216,0
Lebanon,Eastern Mediterranean,1238552,18146.099,0,0,0,10936,160.224,0,0,0
Bolivia (Plurinational State of),Americas,1206420,10335.114,460,3.941,0,22399,191.887,0,0,0
Tunisia,Eastern Mediterranean,1153361,9758.847,0,0,0,29423,248.955,0,0,0
Cuba,Americas,1115064,9844.635,31,0.274,0,8530,75.309,0,0,0
Ecuador,Americas,1069114,6059.688,136,0.771,0,36042,204.284,1,0.006,0
United Arab Emirates,Eastern Mediterranean,1067030,10788.54,0,0,0,2349,23.75,0,0,0
Panama,Americas,1047321,24272.945,321,7.44,0,8652,200.521,2,0.046,0
Uruguay,Americas,1038774,29903.706,0,0,0,7634,219.764,0,0,0
Mongolia,Western Pacific,1010954,30837.845,0,0,0,2284,69.67,0,0,0
Nepal,South-East Asia,1003396,3443.74,12,0.041,0,12031,41.291,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Latvia,Europe,975790,51150.746,0,0,0,7372,386.439,0,0,0
Saudi Arabia,Eastern Mediterranean,841469,2417.051,0,0,0,9646,27.707,0,0,0
Azerbaijan,Europe,832021,8206.003,17,0.168,0,10290,101.488,1,0.01,0
Paraguay,Americas,735759,10315.529,0,0,0,19961,279.858,0,0,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13784.962,0,0,0,5708,111.891,0,0,0
Bahrain,Eastern Mediterranean,696614,40939.365,0,0,0,1536,90.269,0,0,0
Sri Lanka,South-East Asia,672569,3140.901,5,0.023,0,16880,78.83,0,0,0
Dominican Republic,Americas,667048,6149.092,0,0,0,4384,40.413,0,0,0
Kuwait,Eastern Mediterranean,666011,15595.362,0,0,0,2570,60.179,0,0,0
Cyprus,Europe,660854,74420.076,0,0,0,1364,153.603,0,0,0
Myanmar,South-East Asia,641063,1178.212,47,0.086,0,19494,35.828,0,0,0
Republic of Moldova,Europe,620823,15389.903,0,0,0,12125,300.573,0,0,0
Estonia,Europe,601746,45278.922,0,0,0,2900,218.213,0,0,0
Venezuela (Bolivarian Republic of),Americas,552695,1943.649,0,0,0,5856,20.594,0,0,0
Egypt,Eastern Mediterranean,516023,504.252,0,0,0,24830,24.264,0,0,0
Qatar,Eastern Mediterranean,514524,17858.887,0,0,0,690,23.95,0,0,0
Libya,Eastern Mediterranean,507266,7382.396,0,0,0,6437,93.68,0,0,0
