City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details,Accident ID,State Name
"Unknown",2018,"July","Thursday",1899-12-30 12:01:00.000,"Minor",3,"Auto-Rickshaw",7,2,"Stormy","State Highway","Damaged","Dark","Signs",79,41,"Male","Valid","Yes","Curve",34,"Odisha"
"Unknown",2019,"May","Sunday",1899-12-30 05:19:00.000,"Minor",3,"Truck",7,4,"Stormy","National Highway","Under Construction","Daylight","Signs",118,22,"Female","Valid","Yes","Straight Road",189,"Bihar"
"Unknown",2023,"March","Tuesday",1899-12-30 05:14:00.000,"Minor",3,"Two-Wheeler",3,3,"Stormy","Village Road","Damaged","Dark","Signs",93,22,"Male","Valid","No","Intersection",217,"Himachal Pradesh"
"Unknown",2023,"April","Tuesday",1899-12-30 08:55:00.000,"Minor",5,"Truck",0,4,"Stormy","Urban Road","Wet","Dark","Signs",45,32,"Male","Valid","Yes","Straight Road",245,"Bihar"
"Unknown",2020,"July","Sunday",1899-12-30 14:58:00.000,"Minor",5,"Cycle",8,5,"Stormy","National Highway","Dry","Dark","Signals",80,19,"Male","Valid","Yes","Intersection",294,"Nagaland"
"Unknown",2019,"September","Thursday",1899-12-30 09:24:00.000,"Minor",2,"Car",8,5,"Stormy","State Highway","Wet","Dark","Police Checkpost",90,49,"Female","Valid","No","Intersection",306,"Nagaland"
"Unknown",2023,"January","Friday",1899-12-30 00:26:00.000,"Minor",1,"Bus",3,1,"Stormy","State Highway","Under Construction","Dusk","Signs",98,56,"Female","Valid","Yes","Intersection",309,"Haryana"
"Unknown",2022,"October","Wednesday",1899-12-30 14:14:00.000,"Minor",1,"Truck",1,5,"Stormy","Village Road","Under Construction","Dusk","None",61,59,"Male","Valid","Yes","Curve",467,"Jammu and Kashmir"
"Unknown",2018,"October","Monday",1899-12-30 00:02:00.000,"Minor",2,"Auto-Rickshaw",3,0,"Stormy","National Highway","Under Construction","Dusk","Signs",112,70,"Male","Valid","No","Intersection",489,"Chhattisgarh"
"Unknown",2023,"December","Monday",1899-12-30 22:10:00.000,"Minor",1,"Cycle",2,4,"Stormy","National Highway","Damaged","Dusk","Signs",76,54,"Male","Valid","No","Curve",494,"Kerala"
"Unknown",2023,"July","Saturday",1899-12-30 01:28:00.000,"Minor",5,"Bus",6,4,"Stormy","Village Road","Wet","Dawn","None",84,57,"Male","Valid","Yes","Straight Road",506,"Assam"
"Unknown",2023,"January","Sunday",1899-12-30 01:18:00.000,"Minor",1,"Two-Wheeler",8,2,"Stormy","State Highway","Damaged","Dark","None",32,30,"Male","Valid","Yes","Straight Road",600,"Jammu and Kashmir"
"Unknown",2019,"May","Thursday",1899-12-30 13:55:00.000,"Minor",1,"Auto-Rickshaw",1,2,"Stormy","Urban Road","Dry","Daylight","Signs",31,48,"Female","Valid","Yes","Intersection",629,"Telangana"
"Unknown",2021,"September","Tuesday",1899-12-30 20:38:00.000,"Minor",3,"Car",10,1,"Stormy","Urban Road","Damaged","Dark","None",111,28,"Female","Valid","Yes","Curve",687,"Uttarakhand"
"Unknown",2022,"May","Tuesday",1899-12-30 01:45:00.000,"Minor",4,"Car",1,5,"Stormy","Village Road","Dry","Dark","Signals",72,40,"Female","Valid","Yes","Straight Road",708,"Bihar"
